Time,V1,V2,V3,Vnavg_V,V12,V23,V31,VIavg_V,I1,I2,I3,Iavg_A,In,P1,P2,P3,Psum_kW,Q1,Q2,Q3,Qsum_kvar,S1,S2,S3,Ssum_kVA,PF1,PF2,PF3,PF,EPa_IMP_kWh,EPb_IMP_kWh,EPc_IMP_kWh,EP_IMP_kWh,EPa_EXP_kWh,EPb_EXP_kWh,EPc_EXP_kWh,EP_EXP_kWh,EP_TOTAL_kWh,EP_NET_kWh,EQa_IMP_kvarh,EQb_IMP_kvarh,EQc_IMP_kvarh,EQ_IMP_kvarh,EQa_EXP_kvarh,EQb_EXP_kvarh,EQc_EXP_kvarh,EQ_EXP_kvarh,EQ_TOTAL_kvarh,EQ_NET_kvarh,ESa_kVAh,ESb_kVAh,ESc_kVAh,ES_kVAh,THD_Va,THD_Vb,THD_Vc,THD_Vavg,THD_Ia,THD_Ib,THD_Ic,THD_Iavg,Ang_Vb,Ang_Vc,Ang_Ia,Ang_Ib,Ang_Ic
2024-06-22 00:00:00,283.899,284.621,283.603,284.041,493.047,492.373,490.468,491.963,0.368,0.527,0.68,0.525,0.0,0.02,0.094,0.05,0.165,-0.096,-0.107,-0.18,-0.383,0.104,0.153,0.196,0.453,0.195,0.618,0.256,0.364,1391.8,4654.7,1551.5,7600.2,0.0,8.7,3.9,12.6,7612.9,7587.7,1346.8,116.7,7.1,1470.9,326.6,580.2,2380.4,3288.8,4760.5,-1817.5,2463.0,4771.3,3177.2,10413.7,1.92,1.88,1.7,1.84,0.0,0.0,0.0,0.0,120.2,240.4,76.3,169.8,317.2
2024-06-22 00:01:00,284.0,284.68,283.716,284.132,493.176,492.617,490.658,492.15,0.366,0.531,0.685,0.527,0.0,0.02,0.097,0.052,0.169,-0.096,-0.106,-0.182,-0.384,0.104,0.154,0.199,0.457,0.192,0.628,0.261,0.369,1391.8,4654.7,1551.5,7600.2,0.0,8.7,3.9,12.6,7612.9,7587.7,1346.8,116.7,7.1,1470.9,326.6,580.2,2380.4,3288.8,4760.5,-1817.6,2463.0,4771.3,3177.2,10413.7,1.91,1.88,1.68,1.82,0.0,0.0,0.0,0.0,120.2,240.3,76.3,169.4,317.6
2024-06-22 00:02:00,284.063,284.526,283.479,284.023,493.243,492.058,490.565,491.955,0.367,0.53,0.679,0.526,0.0,0.021,0.095,0.05,0.166,-0.096,-0.108,-0.18,-0.384,0.105,0.152,0.195,0.452,0.202,0.621,0.256,0.367,1391.8,4654.7,1551.5,7600.2,0.0,8.7,3.9,12.6,7612.9,7587.7,1346.8,116.7,7.1,1470.9,326.6,580.2,2380.4,3288.8,4760.5,-1817.6,2463.0,4771.3,3177.2,10413.7,1.87,1.82,1.64,1.78,0.0,0.0,0.0,0.0,120.3,240.3,75.4,168.9,316.9
2024-06-22 00:03:00,284.116,284.883,283.638,284.212,493.603,492.615,490.588,492.269,0.365,0.531,0.679,0.525,0.0,0.021,0.098,0.052,0.17,-0.096,-0.106,-0.182,-0.384,0.104,0.155,0.199,0.457,0.199,0.63,0.26,0.372,1391.8,4654.7,1551.5,7600.2,0.0,8.7,3.9,12.6,7612.9,7587.7,1346.8,116.7,7.1,1470.9,326.6,580.2,2380.4,3288.9,4760.5,-1817.6,2463.0,4771.3,3177.2,10413.7,1.83,1.81,1.62,1.75,0.0,0.0,0.0,0.0,120.3,240.4,75.6,168.0,317.1
2024-06-22 00:04:00,284.267,285.16,283.835,284.42,493.893,493.1,490.851,492.614,0.363,0.623,0.834,0.606,0.0,0.02,0.101,0.054,0.175,-0.095,-0.106,-0.184,-0.385,0.103,0.154,0.197,0.454,0.198,0.655,0.273,0.385,1391.8,4654.7,1551.5,7600.2,0.0,8.7,3.9,12.6,7612.9,7587.7,1346.8,116.7,7.1,1470.9,326.6,580.2,2380.4,3288.9,4760.5,-1817.6,2463.0,4771.3,3177.2,10413.7,1.84,1.8,1.58,1.74,0.0,0.0,0.0,0.0,120.3,240.4,75.9,168.9,317.6
2024-06-22 00:05:00,283.675,284.542,283.267,283.828,492.794,492.076,489.927,491.599,0.364,0.527,0.676,0.523,0.0,0.021,0.096,0.051,0.168,-0.095,-0.107,-0.181,-0.383,0.103,0.153,0.196,0.452,0.203,0.628,0.259,0.372,1391.8,4654.7,1551.5,7600.2,0.0,8.7,3.9,12.6,7612.9,7587.7,1346.8,116.7,7.1,1470.9,326.6,580.2,2380.4,3288.9,4760.6,-1817.6,2463.0,4771.3,3177.2,10413.7,1.86,1.83,1.59,1.76,0.0,0.0,0.0,0.0,120.3,240.4,75.6,168.5,317.6
2024-06-22 00:06:00,283.13,283.978,282.725,283.278,491.911,491.144,488.948,490.667,0.362,0.529,0.677,0.523,0.0,0.02,0.101,0.055,0.176,-0.095,-0.105,-0.185,-0.384,0.102,0.154,0.198,0.454,0.194,0.661,0.275,0.387,1391.8,4654.7,1551.5,7600.2,0.0,8.7,3.9,12.6,7612.9,7587.7,1346.8,116.7,7.1,1470.9,326.6,580.2,2380.4,3288.9,4760.6,-1817.6,2463.0,4771.3,3177.2,10413.7,1.85,1.83,1.61,1.76,0.0,0.0,0.0,0.0,120.3,240.4,76.0,170.3,318.7
2024-06-22 00:07:00,283.344,284.246,282.933,283.508,492.312,491.488,489.294,491.031,0.358,0.523,0.677,0.519,0.0,0.019,0.093,0.048,0.16,-0.095,-0.107,-0.18,-0.381,0.102,0.15,0.194,0.446,0.182,0.62,0.248,0.358,1391.8,4654.8,1551.5,7600.2,0.0,8.7,3.9,12.6,7612.9,7587.7,1346.8,116.7,7.1,1470.9,326.6,580.2,2380.4,3288.9,4760.6,-1817.6,2463.0,4771.3,3177.2,10413.7,1.84,1.81,1.61,1.75,0.0,0.0,0.0,0.0,120.3,240.4,75.9,169.2,317.4
2024-06-22 00:08:00,283.399,284.326,283.044,283.59,492.4,491.675,489.453,491.176,0.36,0.521,0.671,0.517,0.0,0.018,0.1,0.054,0.172,-0.095,-0.104,-0.184,-0.384,0.102,0.151,0.197,0.45,0.179,0.661,0.274,0.383,1391.8,4654.8,1551.5,7600.3,0.0,8.7,3.9,12.6,7613.0,7587.8,1346.8,116.7,7.1,1470.9,326.6,580.2,2380.4,3288.9,4760.6,-1817.6,2463.0,4771.3,3177.2,10413.7,1.84,1.83,1.6,1.76,0.0,0.0,0.0,0.0,120.2,240.4,76.4,170.3,318.7
2024-06-22 00:09:00,283.64,284.673,283.267,283.86,492.977,492.237,489.793,491.669,0.358,0.522,0.678,0.519,0.0,0.018,0.094,0.048,0.16,-0.095,-0.106,-0.181,-0.382,0.101,0.151,0.195,0.447,0.175,0.624,0.247,0.357,1391.8,4654.8,1551.5,7600.3,0.0,8.7,3.9,12.6,7613.0,7587.8,1346.8,116.7,7.1,1470.9,326.6,580.2,2380.4,3288.9,4760.6,-1817.6,2463.0,4771.3,3177.2,10413.7,1.86,1.8,1.6,1.76,0.0,0.0,0.0,0.0,120.3,240.4,76.9,169.1,318.6
