timestamp,device_uuid,vaz,vbz,vcz,ia,ib,ic,kwa,kwb,kwc,kvara,kvarb,kvarc,pfa,pfb,pfc,vay,vby,vcy,vaz_ang,vbz_ang,vcz_ang,vay_ang,vby_ang,vcy_ang,ia_ang,ib_ang,ic_ang,,,,,,,,,,,,,
2025-01-30 15:28:03+00,add18211-8fb9-4362-af7e-6fcb39131869,7372.883789,7323.727539,7268.117676,0.303236809,0.271038761,0.331830864,1.781063795,1.500634551,-1.363304496,-1.351406455,-1.299375534,-1.989500046,0.796636414,0.755981812,0.5652677,7430.475098,7395.086426,7252.413574,NULL,-119.7557129,120.4020117,0.725351639,-119.2662891,120.9757617,37.18990479,-78.86694336,-115.1771094,,,,,,,,,,,,,
2025-01-30 15:28:08+00,add18211-8fb9-4362-af7e-6fcb39131869,7362.930176,7311.600586,7261.117676,0.303712502,0.271217709,0.327114906,1.753707051,1.49740088,-1.34621644,-1.387502909,-1.300084949,-1.956877708,0.784230469,0.755105408,0.566775513,7420.882324,7382.666016,7245.068848,NULL,-119.7794434,120.4350684,0.722052917,-119.2902148,121.012666,38.35043945,-78.81402344,-115.039248,,,,,,,,,,,,,
2025-01-30 15:28:13+00,add18211-8fb9-4362-af7e-6fcb39131869,7362.930176,7311.600586,7261.117676,0.303712502,0.271217709,0.327114906,1.753707051,1.49740088,-1.34621644,-1.387502909,-1.300084949,-1.956877708,0.784230469,0.755105408,0.566775513,7420.882324,7382.666016,7245.068848,NULL,-119.7794434,120.4350684,0.722052917,-119.2902148,121.012666,38.35043945,-78.81402344,-115.039248,,,,,,,,,,,,,
2025-01-30 15:28:18+00,add18211-8fb9-4362-af7e-6fcb39131869,7368.953613,7316.157227,7259.728516,0.30977396,0.274517002,0.335541611,1.825920582,1.499032736,-1.389831781,-1.36995554,-1.336641312,-2.000543833,0.799891663,0.746377991,0.570552307,7426.734863,7387.429199,7244.012695,NULL,-119.6974707,120.3709473,0.723940811,-119.2082422,120.9471582,36.8802417,-77.97506348,-114.8403027,,,,,,,,,,,,,
2025-01-30 15:28:23+00,add18211-8fb9-4362-af7e-6fcb39131869,7368.953613,7316.157227,7259.728516,0.30977396,0.274517002,0.335541611,1.825920582,1.499032736,-1.389831781,-1.36995554,-1.336641312,-2.000543833,0.799891663,0.746377991,0.570552307,7426.734863,7387.429199,7244.012695,NULL,-119.6974707,120.3709473,0.723940811,-119.2082422,120.9471582,36.8802417,-77.97506348,-114.8403027,,,,,,,,,,,,,
2025-01-30 15:28:28+00,add18211-8fb9-4362-af7e-6fcb39131869,7366.379395,7316.987793,7248.918945,0.303687782,0.275586224,0.333823357,1.797581673,1.509405613,-1.348146677,-1.331624627,-1.337089896,-2.00953126,0.80353949,0.748541931,0.557117981,7424.562988,7388.038086,7232.884277,NULL,-119.6347949,120.2718164,0.722302094,-119.1451074,120.8483105,36.53055664,-78.09902832,-115.8714648,,,,,,,,,,,,,
2025-01-30 15:28:33+00,add18211-8fb9-4362-af7e-6fcb39131869,7366.379395,7316.987793,7248.918945,0.303687782,0.275586224,0.333823357,1.797581673,1.509405613,-1.348146677,-1.331624627,-1.337089896,-2.00953126,0.80353949,0.748541931,0.557117981,7424.562988,7388.038086,7232.884277,NULL,-119.6347949,120.2718164,0.722302094,-119.1451074,120.8483105,36.53055664,-78.09902832,-115.8714648,,,,,,,,,,,,,
2025-01-30 15:28:38+00,add18211-8fb9-4362-af7e-6fcb39131869,7367.099121,7321.272461,7260.192871,0.306223984,0.273396511,0.331465302,1.813610196,1.517056584,-1.379650235,-1.341743112,-1.305750251,-1.971754789,0.803911499,0.757917969,0.573301086,7425.099609,7392.57373,7244.50293,NULL,-119.6428027,120.2976563,0.722290649,-119.1534473,120.8740039,36.49473633,-78.92380371,-114.7216016,,,,,,,,,,,,,
2025-01-30 15:28:43+00,add18211-8fb9-4362-af7e-6fcb39131869,7367.099121,7321.272461,7260.192871,0.306223984,0.273396511,0.331465302,1.813610196,1.517056584,-1.379650235,-1.341743112,-1.305750251,-1.971754789,0.803911499,0.757917969,0.573301086,7425.099609,7392.57373,7244.50293,NULL,-119.6428027,120.2976563,0.722290649,-119.1534473,120.8740039,36.49473633,-78.92380371,-114.7216016,,,,,,,,,,,,,
2025-01-30 15:28:48+00,add18211-8fb9-4362-af7e-6fcb39131869,7363.416016,7315.595703,7259.975098,0.313719082,0.277977867,0.323971939,1.836828709,1.535580993,-1.319567442,-1.400844216,-1.333196759,-1.946992278,0.795148743,0.755114441,0.561033875,7421.503906,7386.861816,7244.257324,NULL,-119.8060547,120.2610059,0.723541183,-119.3150781,120.8372461,37.33069336,-78.84142578,-115.6116699,,,,,,,,,,,,,
2025-01-30 15:28:53+00,add18211-8fb9-4362-af7e-6fcb39131869,7363.416016,7315.595703,7259.975098,0.313719082,0.277977867,0.323971939,1.836828709,1.535580993,-1.319567442,-1.400844216,-1.333196759,-1.946992278,0.795148743,0.755114441,0.561033875,7421.503906,7386.861816,7244.257324,NULL,-119.8060547,120.2610059,0.723541183,-119.3150781,120.8372461,37.33069336,-78.84142578,-115.6116699,,,,,,,,,,,,,
2025-01-30 15:28:58+00,add18211-8fb9-4362-af7e-6fcb39131869,7363.026855,7316.031738,7253.956543,0.309307194,0.274235458,0.326119232,1.793693662,1.502564788,-1.32528317,-1.403347135,-1.329511404,-1.959578395,0.787593018,0.748917542,0.560218323,7420.410645,7387.585449,7238.321777,NULL,-119.682207,120.3658594,0.724497604,-119.1937695,120.9428223,38.03885742,-78.17890137,-115.563252,,,,,,,,,,,,,
2025-01-30 15:29:03+00,add18211-8fb9-4362-af7e-6fcb39131869,7363.026855,7316.031738,7253.956543,0.309307194,0.274235458,0.326119232,1.793693662,1.502564788,-1.32528317,-1.403347135,-1.329511404,-1.959578395,0.787593018,0.748917542,0.560218323,7420.410645,7387.585449,7238.321777,NULL,-119.682207,120.3658594,0.724497604,-119.1937695,120.9428223,38.03885742,-78.17890137,-115.563252,,,,,,,,,,,,,
2025-01-30 15:29:08+00,add18211-8fb9-4362-af7e-6fcb39131869,7362.428711,7330.968262,7259.069824,0.310455494,0.280681458,0.330725403,1.822301149,1.559615731,-1.350444198,-1.379736423,-1.342233896,-1.984929085,0.79725946,0.75795343,0.562507202,7420.412598,7402.538086,7243.548828,NULL,-119.5708984,120.4501758,0.72389267,-119.081084,121.0271875,37.13080811,-78.85500488,-115.3204492,,,,,,,,,,,,,
2025-01-30 15:29:13+00,add18211-8fb9-4362-af7e-6fcb39131869,7362.428711,7330.968262,7259.069824,0.310455494,0.280681458,0.330725403,1.822301149,1.559615731,-1.350444198,-1.379736423,-1.342233896,-1.984929085,0.79725946,0.75795343,0.562507202,7420.412598,7402.538086,7243.548828,NULL,-119.5708984,120.4501758,0.72389267,-119.081084,121.0271875,37.13080811,-78.85500488,-115.3204492,,,,,,,,,,,,,
2025-01-30 15:29:18+00,add18211-8fb9-4362-af7e-6fcb39131869,7366.833984,7320.151855,7266.865234,0.3102108,0.273553009,0.342486038,1.827754736,1.514647722,-1.423313975,-1.371779323,-1.309826851,-2.041642189,0.799797668,0.756397461,0.571887634,7424.585449,7391.5,7251.379883,NULL,-119.8413965,120.3660059,0.723935623,-119.3536328,120.940625,36.88921631,-78.98902344,-114.7520313,,,,,,,,,,,,,
2025-01-30 15:29:23+00,add18211-8fb9-4362-af7e-6fcb39131869,7366.833984,7320.151855,7266.865234,0.3102108,0.273553009,0.342486038,1.827754736,1.514647722,-1.423313975,-1.371779323,-1.309826851,-2.041642189,0.799797668,0.756397461,0.571887634,7424.585449,7391.5,7251.379883,NULL,-119.8413965,120.3660059,0.723935623,-119.3536328,120.940625,36.88921631,-78.98902344,-114.7520313,,,,,,,,,,,,,
2025-01-30 15:29:28+00,add18211-8fb9-4362-af7e-6fcb39131869,7350.510254,7321.953613,7263.070313,0.3116646,0.274992523,0.322511902,1.847269654,1.516416073,-1.276305556,-1.354912996,-1.324610949,-1.964180827,0.806353271,0.753130981,0.544864685,7408.195801,7393.491211,7247.601563,NULL,-119.8050586,120.5409375,0.724290771,-119.3167871,121.1168555,36.25885254,-78.66738281,-116.4436426,,,,,,,,,,,,,
2025-01-30 15:29:33+00,add18211-8fb9-4362-af7e-6fcb39131869,7350.510254,7321.953613,7263.070313,0.3116646,0.274992523,0.322511902,1.847269654,1.516416073,-1.276305556,-1.354912996,-1.324610949,-1.964180827,0.806353271,0.753130981,0.544864685,7408.195801,7393.491211,7247.601563,NULL,-119.8050586,120.5409375,0.724290771,-119.3167871,121.1168555,36.25885254,-78.66738281,-116.4436426,,,,,,,,,,,,,
2025-01-30 15:29:38+00,add18211-8fb9-4362-af7e-6fcb39131869,7354.404297,7325.249512,7268.988281,0.310364094,0.271841125,0.32476429,1.833257675,1.484839439,-1.269122481,-1.359841704,-1.326854825,-1.990545034,0.80316449,0.745661804,0.537602539,7412.092285,7396.954102,7253.414063,NULL,-119.8233984,120.5428613,0.724119873,-119.3346094,121.1206641,36.56663818,-78.039375,-116.9365625,,,,,,,,,,,,,
2025-01-30 15:29:43+00,add18211-8fb9-4362-af7e-6fcb39131869,7354.404297,7325.249512,7268.988281,0.310364094,0.271841125,0.32476429,1.833257675,1.484839439,-1.269122481,-1.359841704,-1.326854825,-1.990545034,0.80316449,0.745661804,0.537602539,7412.092285,7396.954102,7253.414063,NULL,-119.8233984,120.5428613,0.724119873,-119.3346094,121.1206641,36.56663818,-78.039375,-116.9365625,,,,,,,,,,,,,
2025-01-30 15:29:48+00,add18211-8fb9-4362-af7e-6fcb39131869,7355.147461,7325.661133,7276.111328,0.309015694,0.267297306,0.320830498,1.801324964,1.494170547,-1.29363215,-1.386038303,-1.265592813,-1.943175673,0.792538147,0.763060181,0.554160828,7413.147461,7397.144043,7260.711914,NULL,-119.7970703,120.650957,0.721871567,-119.3083105,121.2274219,37.57666016,-79.53179199,-115.6961035,,,,,,,,,,,,,
2025-01-30 15:29:53+00,add18211-8fb9-4362-af7e-6fcb39131869,7355.147461,7325.661133,7276.111328,0.309015694,0.267297306,0.320830498,1.801324964,1.494170547,-1.29363215,-1.386038303,-1.265592813,-1.943175673,0.792538147,0.763060181,0.554160828,7413.147461,7397.144043,7260.711914,NULL,-119.7970703,120.650957,0.721871567,-119.3083105,121.2274219,37.57666016,-79.53179199,-115.6961035,,,,,,,,,,,,,
2025-01-30 15:29:58+00,add18211-8fb9-4362-af7e-6fcb39131869,7361.150391,7322.146973,7278.390137,0.307433052,0.273538628,0.32476429,1.809361815,1.487730622,-1.288217902,-1.359284759,-1.340979576,-1.981883526,0.799519714,0.742791931,0.54498645,7418.685059,7393.947754,7263.006836,NULL,-119.8588574,120.4778613,0.72474472,-119.3714648,121.053877,36.91573975,-77.82865723,-116.4984082,,,,,,,,,,,,,
2025-01-30 15:30:03+00,add18211-8fb9-4362-af7e-6fcb39131869,7361.150391,7322.146973,7278.390137,0.307433052,0.273538628,0.32476429,1.809361815,1.487730622,-1.288217902,-1.359284759,-1.340979576,-1.981883526,0.799519714,0.742791931,0.54498645,7418.685059,7393.947754,7263.006836,NULL,-119.8588574,120.4778613,0.72474472,-119.3714648,121.053877,36.91573975,-77.82865723,-116.4984082,,,,,,,,,,,,,
2025-01-30 15:30:08+00,add18211-8fb9-4362-af7e-6fcb39131869,7354.010254,7324.446289,7264.794922,0.307029915,0.278627682,0.332605209,1.788014531,1.515646935,-1.282698512,-1.378811598,-1.36662066,-2.047738075,0.791892273,0.742675293,0.530850464,7412.297363,7396.021484,7249.441895,NULL,-119.8304102,120.4928613,0.722143326,-119.3428906,121.0693262,37.63729736,-77.79022461,-117.444209,,,,,,,,,,,,,
2025-01-30 15:30:13+00,add18211-8fb9-4362-af7e-6fcb39131869,7354.010254,7324.446289,7264.794922,0.307029915,0.278627682,0.332605209,1.788014531,1.515646935,-1.282698512,-1.378811598,-1.36662066,-2.047738075,0.791892273,0.742675293,0.530850464,7412.297363,7396.021484,7249.441895,NULL,-119.8304102,120.4928613,0.722143326,-119.3428906,121.0693262,37.63729736,-77.79022461,-117.444209,,,,,,,,,,,,,
2025-01-30 15:30:18+00,add18211-8fb9-4362-af7e-6fcb39131869,7359.432129,7325.683105,7273.238281,0.300508842,0.272025681,0.328522949,1.755990744,1.479853988,-1.312888503,-1.344454527,-1.334608555,-1.99641645,0.794000305,0.742610046,0.549457764,7417.809082,7397.623047,7257.932617,NULL,-119.7459277,120.5531348,0.721955566,-119.2560742,121.1299023,37.43906738,-77.70016113,-116.117041,,,,,,,,,,,,,
